x-spline, y-spline, z-spline, radius
0.000,0.000,0.000,51.584
1.234,0.000,0.000,51.584
2.467,0.000,0.000,51.584
3.701,0.000,0.000,51.584
4.935,0.000,0.000,51.584
6.168,0.000,0.000,51.584
7.402,0.000,0.000,51.584
8.636,0.000,0.000,51.584
9.869,0.000,0.000,51.584
11.103,0.000,0.000,51.584
12.337,0.000,0.000,51.584
13.570,0.000,0.000,51.584
14.804,0.000,0.000,51.584
16.038,0.000,0.000,51.584
17.271,0.000,0.000,51.584
18.505,0.000,0.000,51.584
19.739,0.000,0.000,51.584
20.972,0.000,0.000,51.584
22.206,0.000,0.000,51.584
23.440,0.000,0.000,51.584
24.673,0.000,0.000,51.584
25.907,0.000,0.000,51.584
27.141,0.000,0.000,51.584
28.374,0.000,0.000,51.584
29.608,0.000,0.000,51.584
30.842,0.000,0.000,51.584
32.075,0.000,0.000,51.584
33.309,0.000,0.000,51.584
34.542,0.000,0.000,51.584
35.776,0.000,0.000,51.584
37.010,0.000,0.000,51.584
38.243,0.000,0.000,51.584
39.477,0.000,0.000,51.584
40.711,0.000,0.000,51.584
41.944,0.000,0.000,51.584
43.178,0.000,0.000,51.584
44.412,0.000,0.000,51.584
45.645,0.000,0.000,51.584
46.879,0.000,0.000,51.584
48.113,0.000,0.000,51.584
49.346,0.000,0.000,51.584
50.580,0.000,0.000,51.584
51.814,0.000,0.000,51.584
53.047,0.000,0.000,51.584
54.281,0.000,0.000,51.584
55.515,0.000,0.000,51.584
56.748,0.000,0.000,51.584
57.982,0.000,0.000,51.584
59.216,0.000,0.000,51.584
60.449,0.000,0.000,51.584
61.683,0.000,0.000,51.584
62.917,0.000,0.000,51.584
64.150,0.000,0.000,51.584
65.384,0.000,0.000,51.584
66.618,0.000,0.000,51.584
67.851,0.000,0.000,51.584
69.085,0.000,0.000,51.584
70.319,0.000,0.000,51.584
71.552,0.000,0.000,51.584
72.786,0.000,0.000,51.584
74.020,0.000,0.000,51.584
75.253,0.000,0.000,51.584
76.487,0.000,0.000,51.584
77.721,0.000,0.000,51.584
78.954,0.000,0.000,51.584
80.188,0.000,0.000,51.584
81.422,0.000,0.000,51.584
82.655,0.000,0.000,51.584
83.889,0.000,0.000,51.584
85.123,0.000,0.000,51.584
86.356,0.000,0.000,51.584
87.590,0.000,0.000,51.584
88.824,0.000,0.000,51.584
90.057,0.000,0.000,51.584
91.291,0.000,0.000,51.584
92.525,0.000,0.000,51.584
93.758,0.000,0.000,51.584
94.992,0.000,0.000,51.584
96.226,0.000,0.000,51.584
97.459,0.000,0.000,51.584
98.693,0.000,0.000,51.584
99.926,0.000,0.000,51.584
101.160,0.000,0.000,51.584
102.394,0.000,0.000,51.584
103.627,0.000,0.000,51.584
104.861,0.000,0.000,51.584
106.095,0.000,0.000,51.584
107.328,0.000,0.000,51.584
108.562,0.000,0.000,51.584
109.796,0.000,0.000,51.584
111.029,0.000,0.000,51.584
112.263,0.000,0.000,51.584
113.497,0.000,0.000,51.584
114.730,0.000,0.000,51.584
115.964,0.000,0.000,51.584
117.198,0.000,0.000,51.584
118.431,0.000,0.000,51.584
119.665,0.000,0.000,51.584
120.899,0.000,0.000,51.584
122.132,0.000,0.000,51.584
123.366,0.000,0.000,51.584
124.600,0.000,0.000,51.584
125.833,0.000,0.000,51.584
127.067,0.000,0.000,51.584
128.301,0.000,0.000,51.584
129.534,0.000,0.000,51.584
130.768,0.000,0.000,51.584
132.002,0.000,0.000,51.584
133.235,0.000,0.000,51.584
134.469,0.000,0.000,51.584
135.703,0.000,0.000,51.584
136.936,0.000,0.000,51.584
138.170,0.000,0.000,51.584
139.404,0.000,0.000,51.584
140.637,0.000,0.000,51.584
141.871,0.000,0.000,51.584
143.105,0.000,0.000,51.584
144.338,0.000,0.000,51.584
145.572,0.000,0.000,51.584
146.806,0.000,0.000,51.584
148.039,0.000,0.000,51.584
149.273,0.000,0.000,51.584
150.507,0.000,0.000,51.584
151.740,0.000,0.000,51.584
152.974,0.000,0.000,51.584
154.208,0.000,0.000,51.584
155.441,0.000,0.000,51.584
156.675,0.000,0.000,51.584
157.909,0.000,0.000,51.584
159.142,0.000,0.000,51.584
160.376,0.000,0.000,51.584
161.610,0.000,0.000,51.584
162.843,0.000,0.000,51.584
164.077,0.000,0.000,51.584
165.310,0.000,0.000,51.584
166.544,0.000,0.000,51.584
167.778,0.000,0.000,51.584
169.011,0.000,0.000,51.584
170.245,0.000,0.000,51.584
171.479,0.000,0.000,51.584
172.712,0.000,0.000,51.584
173.946,0.000,0.000,51.584
175.180,0.000,0.000,51.584
176.413,0.000,0.000,51.584
177.647,0.000,0.000,51.584
178.881,0.000,0.000,51.586
180.114,0.000,0.000,51.587
181.348,0.000,0.000,51.589
182.582,0.000,0.000,51.590
183.815,0.000,0.000,51.592
185.049,0.000,0.000,51.593
186.283,0.000,0.000,51.594
187.516,0.000,0.000,51.595
188.750,0.000,0.000,51.597
189.984,0.000,0.000,51.598
191.217,0.000,0.000,51.599
192.451,0.000,0.000,51.600
193.685,0.000,0.000,51.601
194.918,0.000,0.000,51.601
196.152,0.000,0.000,51.602
197.386,0.000,0.000,51.603
198.619,0.000,0.000,51.603
199.853,0.000,0.000,51.604
201.087,0.000,0.000,51.605
202.320,0.000,0.000,51.605
203.554,0.000,0.000,51.605
204.788,0.000,0.000,51.606
206.021,0.000,0.000,51.606
207.255,0.000,0.000,51.606
208.489,0.000,0.000,51.606
209.722,0.000,0.000,51.606
210.956,0.000,0.000,51.606
212.190,0.000,0.000,51.606
213.423,0.000,0.000,51.606
214.657,0.000,0.000,51.606
215.891,0.000,0.000,51.606
217.124,0.000,0.000,51.606
218.358,0.000,0.000,51.606
219.592,8.730,0.000,51.606
220.825,8.884,0.000,51.606
222.059,9.039,0.000,51.606
223.293,9.195,0.000,51.606
224.526,9.353,0.000,51.606
225.760,9.511,0.000,51.606
226.994,9.671,0.000,51.606
228.227,9.831,0.000,51.606
229.461,9.993,0.000,51.606
230.695,10.156,0.000,51.606
231.928,10.320,0.000,51.606
233.162,10.485,0.000,51.606
234.395,10.652,0.000,51.606
235.629,10.819,0.000,51.606
236.863,10.988,0.000,51.606
238.096,11.157,0.000,51.606
239.330,11.328,0.000,51.606
240.564,11.499,0.000,51.606
241.797,11.672,0.000,51.606
243.031,11.846,0.000,51.606
244.265,12.021,0.000,51.606
245.498,12.196,0.000,51.606
246.732,12.373,0.000,51.606
247.966,12.551,0.000,51.606
249.199,12.730,0.000,51.606
250.433,12.910,0.000,51.606
251.667,13.091,0.000,51.606
252.900,13.273,0.000,51.606
254.134,13.457,0.000,51.606
255.368,13.643,0.000,51.606
256.601,13.831,0.000,51.606
257.835,14.023,0.000,51.606
259.069,14.218,0.000,51.606
260.302,14.418,0.000,51.606
261.536,14.623,0.000,51.606
262.770,14.833,0.000,51.606
264.003,15.049,0.000,51.606
265.237,15.272,0.000,51.606
266.471,15.501,0.000,51.606
267.704,15.738,0.000,51.606
268.938,15.984,0.000,51.606
270.172,16.238,0.000,51.606
271.405,16.501,0.000,51.606
272.639,16.774,0.000,51.606
273.873,17.057,0.000,51.606
275.106,17.351,0.000,51.606
276.340,17.657,0.000,51.606
277.574,17.974,0.000,51.606
278.807,18.304,0.000,51.606
280.041,18.647,0.000,51.606
281.275,19.004,0.000,51.606
282.508,19.375,0.000,51.611
283.742,19.759,0.000,51.629
284.976,20.157,0.000,51.649
286.209,20.567,0.000,51.671
287.443,20.989,0.000,51.694
288.677,21.422,0.000,51.720
289.910,21.865,0.000,51.748
291.144,22.318,0.000,51.778
292.378,22.779,0.000,51.810
293.611,23.249,0.000,51.845
294.845,23.727,0.000,51.882
296.079,24.211,0.000,51.922
297.312,24.701,0.000,51.964
298.546,25.196,0.000,52.009
299.779,25.696,0.000,52.057
301.013,26.200,0.000,52.107
302.247,26.707,0.000,52.161
303.480,27.217,0.000,52.218
304.714,27.728,0.000,52.277
305.948,28.240,0.000,52.340
307.181,28.753,0.000,52.406
308.415,29.265,0.000,52.475
309.649,29.776,0.000,52.548
310.882,30.285,0.000,52.624
312.116,30.792,0.000,52.703
313.350,31.296,0.000,52.787
314.583,31.798,0.000,52.873
315.817,32.298,0.000,52.963
317.051,32.798,0.000,53.056
318.284,33.297,0.000,53.153
319.518,33.798,0.000,53.252
320.752,34.300,0.000,53.354
321.985,34.805,0.000,53.459
323.219,35.313,0.000,53.567
324.453,35.825,0.000,53.678
325.686,36.342,0.000,53.790
326.920,36.864,0.000,53.906
328.154,37.393,0.000,54.023
329.387,37.928,0.000,54.143
330.621,38.472,0.000,54.265
331.855,39.024,0.000,54.388
333.088,39.586,0.000,54.514
334.322,40.158,0.000,54.641
335.556,40.740,0.000,54.770
336.789,41.335,0.000,54.901
338.023,41.942,0.000,55.032
339.257,42.562,0.000,55.166
340.490,43.197,0.000,55.300
341.724,43.846,0.000,55.435
342.958,44.511,0.000,55.572
344.191,45.191,0.000,55.709
345.425,45.887,0.000,55.847
346.659,46.598,0.000,55.986
347.892,47.324,0.000,56.125
349.126,48.065,0.000,56.265
350.360,48.820,0.000,56.405
351.593,49.590,0.000,56.545
352.827,50.374,0.000,56.685
354.061,51.171,0.000,56.826
355.294,51.982,0.000,56.966
356.528,52.806,0.000,57.106
357.762,53.644,0.000,57.246
358.995,54.494,0.000,57.385
360.229,55.357,0.000,57.524
361.463,56.232,0.000,57.662
362.696,57.120,0.000,57.800
363.930,58.019,0.000,57.936
365.163,58.930,0.000,58.072
366.397,59.853,0.000,58.207
367.631,60.787,0.000,58.340
368.864,61.732,0.000,58.472
370.098,62.687,0.000,58.603
371.332,63.653,0.000,58.732
372.565,64.630,0.000,58.860
373.799,65.617,0.000,58.986
375.033,66.615,0.000,59.110
376.266,67.625,0.000,59.234
377.500,68.648,0.000,59.357
378.734,69.685,0.000,59.480
379.967,70.737,0.000,59.603
381.201,71.804,0.000,59.726
382.435,72.887,0.000,59.850
383.668,73.988,0.000,59.975
384.902,75.106,0.000,60.101
386.136,76.243,0.000,60.228
387.369,77.400,0.000,60.357
388.603,78.578,0.000,60.489
