x-spline, y-spline, z-spline, radius
0.000,0.000,0.000,9.500
2.000,0.000,0.000,9.470
4.000,0.000,0.000,9.200
6.000,0.000,0.000,8.680
8.000,0.000,0.000,8.420
10.000,0.000,0.000,7.900
12.000,0.000,0.000,7.100
14.000,0.000,0.000,6.840
16.000,0.000,0.000,5.790
18.000,0.000,0.000,5.000
20.000,0.000,0.000,3.950
22.000,0.000,0.000,3.160
24.000,0.000,0.000,2.370
25.000,0.000,0.000,2.500
27.000,0.000,0.000,2.591
29.000,0.000,0.000,2.682
31.000,0.000,0.000,2.773
33.000,0.000,0.000,2.864
35.000,0.000,0.000,2.955
37.000,0.000,0.000,3.045
39.000,0.000,0.000,3.136
41.000,0.000,0.000,3.227
43.000,0.000,0.000,3.318
45.000,0.000,0.000,3.409
47.000,0.000,0.000,3.500
49.000,0.000,0.000,3.591
51.000,0.000,0.000,3.682
53.000,0.000,0.000,3.773
55.000,0.000,0.000,3.864
57.000,0.000,0.000,3.955
59.000,0.000,0.000,4.045
61.000,0.000,0.000,4.136
63.000,0.000,0.000,4.227
65.000,0.000,0.000,4.318
67.000,0.000,0.000,4.409
69.000,0.000,0.000,4.500
71.000,0.000,0.000,4.591
73.000,0.000,0.000,4.682
75.000,0.000,0.000,4.773
77.000,0.000,0.000,4.864
79.000,0.000,0.000,4.955
80.000,0.000,0.000,5.000
82.000,0.000,0.000,5.067
84.000,0.000,0.000,5.133
86.000,0.000,0.000,5.200
88.000,0.000,0.000,5.267
90.000,0.000,0.000,5.333
92.000,0.000,0.000,5.400
94.000,0.000,0.000,5.467
96.000,0.000,0.000,5.533
98.000,0.000,0.000,5.600
100.000,0.000,0.000,5.667
102.000,0.000,0.000,5.733
104.000,0.000,0.000,5.800
106.000,0.000,0.000,5.867
108.000,0.000,0.000,5.933
110.000,0.000,0.000,6.500
112.000,0.000,0.000,6.533
114.000,0.000,0.000,6.567
116.000,0.000,0.000,6.600
118.000,0.000,0.000,6.633
120.000,0.000,0.000,6.667
122.000,0.000,0.000,6.700
124.000,0.000,0.000,6.733
126.000,0.000,0.000,6.767
128.000,0.000,0.000,6.800
130.000,0.000,0.000,6.833
132.000,0.000,0.000,6.867
134.000,0.000,0.000,6.900
136.000,0.000,0.000,6.933
138.000,0.000,0.000,6.967
140.000,0.000,0.000,7.000
142.000,0.000,0.000,7.033
144.000,0.000,0.000,7.067
146.000,0.000,0.000,7.100
148.000,0.000,0.000,7.133
150.000,0.000,0.000,7.167
152.000,0.000,0.000,7.200
154.000,0.000,0.000,7.233
156.000,0.000,0.000,7.267
158.000,0.000,0.000,7.300
160.000,0.000,0.000,7.333
162.000,0.000,0.000,7.367
164.000,0.000,0.000,7.400
166.000,0.000,0.000,7.433
168.000,0.000,0.000,7.467
170.000,0.000,0.000,7.500
172.000,0.000,0.000,7.533
174.000,0.000,0.000,7.567
176.000,0.000,0.000,7.600
178.000,0.000,0.000,7.633
180.000,0.000,0.000,7.667
182.000,0.000,0.000,7.700
184.000,0.000,0.000,7.733
186.000,0.000,0.000,7.767
188.000,0.000,0.000,7.800
190.000,0.000,0.000,7.833
192.000,0.000,0.000,7.867
194.000,0.000,0.000,7.900
196.000,0.000,0.000,7.933
198.000,0.000,0.000,7.967
200.000,0.000,0.000,8.000
202.000,0.000,0.000,8.033
204.000,0.000,0.000,8.067
206.000,0.000,0.000,8.100
208.000,0.000,0.000,8.133
210.000,0.000,0.000,8.167
212.000,0.000,0.000,8.200
214.000,0.000,0.000,8.233
216.000,0.000,0.000,8.267
218.000,0.000,0.000,8.300
220.000,0.000,0.000,8.333
222.000,0.000,0.000,8.367
224.000,0.000,0.000,8.400
226.000,0.000,0.000,8.433
228.000,0.000,0.000,8.467
230.000,0.000,0.000,8.500
232.000,0.000,0.000,8.533
234.000,0.000,0.000,8.567
236.000,0.000,0.000,8.600
238.000,0.000,0.000,8.633
240.000,0.000,0.000,8.667
242.000,0.000,0.000,8.700
244.000,0.000,0.000,8.733
246.000,0.000,0.000,8.767
248.000,0.000,0.000,8.800
250.000,0.000,0.000,8.833
252.000,0.000,0.000,8.867
254.000,0.000,0.000,8.900
256.000,0.000,0.000,8.933
258.000,0.000,0.000,8.967
260.000,0.000,0.000,9.000
262.000,0.000,0.000,9.033
264.000,0.000,0.000,9.067
266.000,0.000,0.000,9.100
268.000,0.000,0.000,9.133
270.000,0.000,0.000,9.167
272.000,0.000,0.000,9.200
274.000,0.000,0.000,9.233
276.000,0.000,0.000,9.267
278.000,0.000,0.000,9.300
280.000,0.000,0.000,9.333
282.000,0.000,0.000,9.367
284.000,0.000,0.000,9.400
286.000,0.000,0.000,9.433
288.000,0.000,0.000,9.467
290.000,0.000,0.000,9.500
292.000,0.000,0.000,9.533
294.000,0.000,0.000,9.567
296.000,0.000,0.000,9.600
298.000,0.000,0.000,9.633
300.000,0.000,0.000,9.667
302.000,0.000,0.000,9.700
304.000,0.000,0.000,9.733
306.000,0.000,0.000,9.767
308.000,0.000,0.000,9.800
310.000,0.000,0.000,9.833
312.000,0.000,0.000,9.867
314.000,0.000,0.000,9.900
316.000,0.000,0.000,9.933
318.000,0.000,0.000,9.967
320.000,0.000,0.000,10.000
322.000,0.000,0.000,10.033
324.000,0.000,0.000,10.067
326.000,0.000,0.000,10.100
328.000,0.000,0.000,10.133
330.000,0.000,0.000,10.167
332.000,0.000,0.000,10.200
334.000,0.000,0.000,10.233
336.000,0.000,0.000,10.267
338.000,0.000,0.000,10.300
340.000,0.000,0.000,10.333
342.000,0.000,0.000,10.367
344.000,0.000,0.000,10.400
346.000,0.000,0.000,10.433
348.000,0.000,0.000,10.467
350.000,0.000,0.000,10.500
352.000,0.000,0.000,10.533
354.000,0.000,0.000,10.567
356.000,0.000,0.000,10.600
358.000,0.000,0.000,10.633
360.000,0.000,0.000,10.667
362.000,0.000,0.000,10.700
364.000,0.000,0.000,10.733
366.000,0.000,0.000,10.767
368.000,0.000,0.000,10.800
370.000,0.000,0.000,10.833
372.000,0.000,0.000,10.867
374.000,0.000,0.000,10.900
376.000,0.000,0.000,10.933
378.000,0.000,0.000,10.967
380.000,0.000,0.000,11.000
382.000,0.000,0.000,11.033
384.000,0.000,0.000,11.067
386.000,0.000,0.000,11.100
388.000,0.000,0.000,11.133
390.000,0.000,0.000,11.167
392.000,0.000,0.000,11.200
394.000,0.000,0.000,11.233
396.000,0.000,0.000,11.267
398.000,0.000,0.000,11.300
400.000,0.000,0.000,11.333
402.000,0.000,0.000,11.367
