x-spline, y-spline, z-spline, radius
0.000,0.000,0.000,9.500
2.000,0.000,0.000,9.470
4.000,0.000,0.000,9.200
6.000,0.000,0.000,8.680
8.000,0.000,0.000,8.420
10.000,0.000,0.000,7.900
12.000,0.000,0.000,7.100
14.000,0.000,0.000,6.840
16.000,0.000,0.000,5.790
18.000,0.000,0.000,5.000
20.000,0.000,0.000,3.950
22.000,0.000,0.000,3.160
24.000,0.000,0.000,2.370
25.000,0.000,0.000,2.500
27.000,0.000,0.000,2.591
29.000,0.000,0.000,2.682
31.000,0.000,0.000,2.773
33.000,0.000,0.000,2.864
35.000,0.000,0.000,2.955
37.000,0.000,0.000,3.045
39.000,0.000,0.000,3.136
41.000,0.000,0.000,3.227
43.000,0.000,0.000,3.318
45.000,0.000,0.000,3.409
47.000,0.000,0.000,3.500
49.000,0.000,0.000,3.591
51.000,0.000,0.000,3.682
53.000,0.000,0.000,3.773
55.000,0.000,0.000,3.864
57.000,0.000,0.000,3.955
59.000,0.000,0.000,4.045
61.000,0.000,0.000,4.136
63.000,0.000,0.000,4.227
65.000,0.000,0.000,4.318
67.000,0.000,0.000,4.409
69.000,0.000,0.000,4.500
71.000,0.000,0.000,4.591
73.000,0.000,0.000,4.682
75.000,0.000,0.000,4.773
77.000,0.000,0.000,4.864
79.000,0.000,0.000,4.955
80.000,0.000,0.000,5.000
82.000,0.000,0.000,5.067
84.000,0.000,0.000,5.133
86.000,0.000,0.000,5.200
88.000,0.000,0.000,5.267
90.000,0.000,0.000,5.333
92.000,0.000,0.000,5.400
94.000,0.000,0.000,5.467
96.000,0.000,0.000,5.533
98.000,0.000,0.000,5.600
100.000,0.000,0.000,5.667
102.000,0.000,0.000,5.733
104.000,0.000,0.000,5.800
106.000,0.000,0.000,5.867
108.000,0.000,0.000,5.933
